Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
900,55,0.005,2543.162,2543.208,0.018
900,56,0.005,2543.194,2543.195,0.018
900,57,0.005,2543.230,2543.179,0.018
900,58,0.004,2543.149,2543.218,0.016
900,59,0.005,2543.275,2543.273,0.018
900,60,0.005,2543.249,2543.220,0.018
1000,1,0.004,2825.851,2825.793,0.018
1000,2,0.005,2825.842,2825.763,0.018
1000,3,0.005,2825.763,2825.765,0.017
1000,4,0.005,2825.873,2825.783,0.017
1000,5,0.005,2825.776,2825.837,0.017
1000,6,0.005,2825.777,2825.781,0.016
1000,7,0.004,2825.790,2825.795,0.019
1000,8,0.004,2825.788,2825.818,0.018
1000,9,0.005,2825.821,2825.757,0.018
1000,10,0.004,2825.771,2825.737,0.017
1000,11,0.005,2825.829,2825.751,0.017
1000,12,0.005,2825.807,2825.821,0.018
1000,13,0.005,2825.782,2825.764,0.017
1000,14,0.005,2825.731,2825.736,0.018
1000,15,0.004,2825.834,2825.837,0.018
1000,16,0.004,2825.831,2825.721,0.017
1000,17,0.005,2825.695,2825.746,0.018
1000,18,0.005,2825.791,2825.812,0.019
1000,19,0.004,2825.717,2825.765,0.018
1000,20,0.004,2825.789,2825.764,0.017
1000,21,0.004,2825.777,2825.742,0.017
1000,22,0.005,2825.803,2825.830,0.018
1000,23,0.004,2825.786,2825.795,0.018
1000,24,0.005,2825.802,2825.780,0.017
1000,25,0.005,2825.872,2825.827,0.017
1000,26,0.004,2825.763,2825.840,0.018
1000,27,0.005,2825.889,2825.799,0.018
1000,28,0.004,2825.854,2825.817,0.017
1000,29,0.005,2825.794,2825.737,0.018
1000,30,0.005,2825.804,2825.761,0.018
1000,31,0.004,2825.814,2825.786,0.018
1000,32,0.005,2825.764,2825.790,0.017
1000,33,0.005,2825.812,2825.776,0.018
1000,34,0.005,2825.815,2825.813,0.018
1000,35,0.004,2825.818,2825.794,0.018
1000,36,0.004,2825.779,2825.808,0.017
1000,37,0.004,2825.894,2825.793,0.017
1000,38,0.004,2825.827,2825.792,0.018
1000,39,0.005,2825.730,2825.795,0.019
1000,40,0.005,2825.793,2825.747,0.018
1000,41,0.005,2825.760,2825.825,0.018
1000,42,0.005,2825.761,2825.790,0.018
1000,43,0.004,2825.791,2825.754,0.018
1000,44,0.005,2825.779,2825.768,0.018
1000,45,0.005,2825.815,2825.762,0.017
1000,46,0.005,2825.769,2825.780,0.018
1000,47,0.004,2825.819,2825.853,0.017
1000,48,0.005,2825.792,2825.753,0.017
1000,49,0.005,2825.816,2825.812,0.018
1000,50,0.005,2825.778,2825.915,0.017
1000,51,0.005,2825.755,2825.834,0.016
1000,52,0.004,2825.688,2825.776,0.018
1000,53,0.005,2825.783,2825.746,0.018
1000,54,0.005,2825.805,2825.798,0.018
1000,55,0.004,2825.832,2825.835,0.017
1000,56,0.005,2825.760,2825.770,0.019
1000,57,0.004,2825.716,2825.802,0.017
1000,58,0.005,2825.752,2825.698,0.019
1000,59,0.004,2825.731,2825.785,0.018
1000,60,0.005,2825.789,2825.759,0.017

Total execution time: 1865043.471 milliseconds
